,mean_height_rel_error,mean_weight_rel_error
0,0.10595977517731887,0.7201790255901346
1,0.09950517679696813,0.2695812763525897
2,0.09627578575683533,0.4568804573908155
3,0.07851027169704672,0.2331025706596737
4,0.10327675966169846,0.46417497134408603
5,0.0843510979576725,0.2770366612726014
6,0.06884235430362083,0.29289109919895967
7,0.06656888395008798,0.5547346711918313
8,0.06952275100343251,0.6126389840570506
9,0.09352348926563603,0.23094433491800243
10,0.06615414085887658,0.23342737843225134
11,0.07438263435374003,0.24542843362709574
12,0.07214721436585302,0.767151598711508
13,0.07837230315248471,0.22853890834258542
14,0.09037788545545276,0.32731993580025015
