data,img_size,sexe,age,method_sex_age,seed,epochs,lr,height_rel_err,weight_rel_err
guinee,384,True,True,4,0,30,0.005,0.06454140195639588,0.19272612867964997
guinee,384,True,True,4,1,30,0.005,0.06195445787838462,0.18829675098647827
cambodge,384,True,True,4,0,30,0.005,0.04003753130873943,0.09309722441794839
cambodge,384,True,True,4,1,30,0.005,0.03595237006336215,0.08753087509115824
guinee,384,True,True,4,0,30,0.005,0.05572178466626456,0.19628230591097573
guinee,384,True,True,4,1,30,0.005,0.0612291825994916,0.20559494220932756
cambodge,384,True,True,4,0,30,0.005,0.0342889339250239,0.09325661999699777
cambodge,384,True,True,4,1,30,0.005,0.0348692366557025,0.08888409518285709
guinee,384,True,True,4,0,30,0.005,0.06240481735669756,0.19338881510237899
guinee,384,True,True,4,1,30,0.005,0.057327961167771516,0.20454707532680638
guinee,384,True,True,4,2,30,0.005,0.05832287325105417,0.20461146860355986
guinee,384,True,True,4,3,30,0.005,0.05580148920673712,0.19044711260540362
cambodge,384,True,True,4,0,30,0.005,0.03409511925962153,0.09231137447828913
cambodge,384,True,True,4,1,30,0.005,0.03484941440840517,0.09107210188668313
cambodge,384,True,True,4,2,30,0.005,0.0329404086063714,0.08887250172123824
cambodge,384,True,True,4,3,30,0.005,0.03464230350328492,0.09391919302498608
guinee_cambodge,384,True,True,4,0,30,0.005,0.03577880421738346,0.11216270433803192
guinee_cambodge,384,True,True,4,1,30,0.005,0.03588353323552182,0.10643798078341044
guinee_cambodge,384,True,True,4,2,30,0.005,0.036212484914783634,0.11010075538336073
guinee_cambodge,384,True,True,4,3,30,0.005,0.035773061893429485,0.1078467847516103
